uid,title,year,runtime_mins,ave_rating,num_votes
tt0024025,Flying Down to Rio,1933.0,89.0,6.6,3359.0
tt0024028,Footlight Parade,1933.0,104.0,7.6,4905.0
tt0024034,42nd Street,1933.0,89.0,7.4,10776.0
tt0024064,The Girl from Maxim's,1933.0,79.0,,
tt0024066,Bon Voyage,1933.0,83.0,,
tt0024067,Going Hollywood,1933.0,78.0,6.1,1699.0
tt0024069,Gold Diggers of 1933,1933.0,97.0,7.7,7369.0
tt0024073,The Good Companions,1933.0,113.0,7.0,177.0
tt0024083,Hallelujah I'm a Bum,1933.0,82.0,7.0,735.0
tt0024088,Happy,1933.0,80.0,6.0,23.0
tt0024093,The Hayseeds,1933.0,98.0,5.9,7.0
tt0024103,"Hello, Everybody!",1933.0,69.0,6.4,53.0
tt0024149,I Adore You,1933.0,74.0,6.9,7.0
tt0024189,It's Great to Be Alive,1933.0,69.0,5.7,60.0
tt0024220,King of the Ritz,1933.0,81.0,,
tt0024260,The Little Damozel,1933.0,73.0,,
tt0024274,Unfinished Symphony,1934.0,84.0,7.5,28.0
tt0024323,Melody Cruise,1933.0,76.0,6.0,252.0
tt0024324,The Melody-Maker,1933.0,56.0,,
tt0024345,My Uncle from America,1933.0,88.0,6.1,18.0
tt0024348,Moonlight and Pretzels,1933.0,83.0,7.1,84.0
tt0024363,My Lips Betray,1933.0,76.0,6.1,10.0
tt0024364,My Weakness,1933.0,73.0,6.5,24.0
tt0024410,On the Air,1934.0,78.0,,
tt0024417,The Only Girl,1933.0,89.0,,
tt0024469,Prince of Arcadia,1933.0,80.0,,
tt0024486,Rainbow Over Broadway,1933.0,72.0,6.0,32.0
tt0024507,Roman Scandals,1933.0,92.0,6.6,567.0
tt0024570,Sitting Pretty,1933.0,85.0,6.2,127.0
tt0024581,So This Is Africa,1933.0,61.0,6.7,88.0
tt0024582,A Girl You Don't Forget,1932.0,92.0,7.1,20.0
tt0024589,The Woman in Command,1933.0,80.0,6.0,36.0
tt0024602,A Southern Maid,1934.0,83.0,7.3,10.0
tt0024609,Stage Mother,1933.0,85.0,6.1,213.0
tt0024635,The Sweetheart of Sigma Chi,1933.0,77.0,6.6,30.0
tt0024636,Spy,1933.0,77.0,6.7,26.0
tt0024640,Take a Chance,1933.0,82.0,7.4,34.0
tt0024642,¡Tango!,1933.0,80.0,6.3,47.0
tt0024652,That's a Good Girl,1933.0,83.0,,
tt0024683,Too Much Harmony,1933.0,76.0,6.3,58.0
tt0024685,Torch Singer,1933.0,71.0,6.7,544.0
tt0024693,Traum von Schönbrunn,1932.0,79.0,,
tt0024736,Victor and Victoria,1933.0,100.0,6.8,384.0
tt0024743,A Voz do Carnaval,1933.0,,6.2,8.0
tt0024746,Waltz Time,1933.0,82.0,,
tt0024749,Waltz War,1933.0,93.0,7.1,44.0
tt0024754,Was Frauen träumen,1933.0,90.0,7.0,69.0
tt0024823,All the King's Horses,1935.0,87.0,5.7,86.0
tt0024873,Belle of the Nineties,1934.0,73.0,6.4,642.0
tt0024874,Beloved,1934.0,85.0,5.9,36.0
tt0024876,An Evening Visit,1934.0,86.0,,
tt0024896,Bleeke Bet,1934.0,111.0,6.3,42.0
tt0024900,April Blossoms,1934.0,91.0,6.7,40.0
tt0024910,Bottoms Up,1934.0,85.0,5.8,117.0
tt0024912,The Bride of the Lake,1934.0,88.0,5.6,16.0
tt0024917,Vagabond Violinist,1934.0,84.0,5.9,77.0
tt0024918,Her Song of Love,1934.0,,,
tt0024938,Butter and Egg Man,1935.0,,,
tt0024949,The Song of the Sun,1934.0,92.0,6.7,7.0
tt0024952,Caravan,1934.0,101.0,6.1,103.0
tt0024960,The Cat and the Fiddle,1934.0,88.0,6.4,369.0
tt0024992,Cockeyed Cavaliers,1934.0,72.0,6.4,264.0
tt0024993,College Rhythm,1934.0,86.0,6.4,73.0
tt0025012,La crise est finie,1934.0,74.0,6.7,87.0
tt0025021,Cuesta abajo,1934.0,74.0,7.4,53.0
tt0025026,The Csardas Princess,1934.0,95.0,7.6,18.0
tt0025028,Dames,1934.0,91.0,7.1,1880.0
tt0025033,Danny Boy,1934.0,80.0,,
tt0025066,Down to Their Last Yacht,1934.0,64.0,5.0,177.0
tt0025067,Doña Francisquita,1934.0,90.0,5.2,6.0
tt0025092,Evensong,1934.0,87.0,6.7,61.0
tt0025094,Evergreen,1934.0,94.0,6.7,490.0
tt0025101,Fashions of 1934,1934.0,78.0,6.8,1364.0
tt0025116,The Grand Duke's Finances,1934.0,96.0,6.9,12.0
tt0025124,Flirtation Walk,1934.0,97.0,5.7,636.0
tt0025138,Frasquita,1934.0,84.0,6.1,21.0
tt0025139,"Eine Frau, die weiß, was sie will",1934.0,,6.8,8.0
tt0025162,Garmon,1934.0,66.0,6.7,46.0
tt0025164,The Gay Divorcee,1934.0,107.0,7.5,7046.0
tt0025166,George White's Scandals,1934.0,80.0,6.4,61.0
tt0025179,Give Her a Ring,1934.0,79.0,7.0,6.0
tt0025186,Kiss Me Goodbye,1933.0,78.0,5.2,28.0
tt0025219,Happiness Ahead,1934.0,86.0,6.7,265.0
tt0025221,Harold Teen,1934.0,66.0,6.4,98.0
tt0025239,Here Is My Heart,1934.0,77.0,7.0,99.0
tt0025252,La hija del penal,1936.0,88.0,,
tt0025254,"Hips, Hips, Hooray!",1934.0,68.0,6.5,404.0
tt0025257,Wedding at Lake Wolfgang,1933.0,,,
tt0025263,Hollywood Party,1934.0,68.0,6.2,821.0
tt0025275,The Bedroom Diplomat,1934.0,73.0,,
tt0025283,I Like It That Way,1934.0,67.0,5.9,34.0
tt0025292,I'm Marrying My Wife,1934.0,,,
tt0025324,De Jantjes,1934.0,99.0,6.9,66.0
tt0025347,Kid Millions,1934.0,90.0,6.5,457.0
tt0025349,King Kelly of the U.S.A.,1934.0,66.0,4.7,105.0
tt0025351,Kiss and Make-Up,1934.0,78.0,6.1,551.0
tt0025381,Let's Fall in Love,1933.0,73.0,6.3,82.0
tt0025386,The Last Waltz,1934.0,95.0,,
tt0025437,"Love, Life & Laughter",1934.0,83.0,5.7,36.0
tt0025447,Malle gevallen,1934.0,94.0,5.6,18.0
tt0025483,My Heart Calls You,1934.0,83.0,6.7,11.0
tt0025493,The Merry Widow,1934.0,99.0,7.2,2568.0
tt0025512,Mon coeur t'appelle,1934.0,84.0,6.1,14.0
tt0025520,Moulin Rouge,1934.0,70.0,6.6,120.0
tt0025534,Music Hall,1934.0,73.0,4.3,34.0
tt0025536,Music in the Air,1934.0,85.0,5.9,949.0
tt0025540,A Song for You,1934.0,85.0,5.9,25.0
tt0025547,Vasember,1934.0,76.0,7.3,22.0
tt0025557,El negro que tenía el alma blanca,1951.0,87.0,6.8,31.0
tt0025616,Over the Garden Wall,1934.0,68.0,7.3,21.0
tt0025647,Peter,1934.0,85.0,7.3,49.0
tt0025661,Polenblut,1934.0,,6.0,14.0
tt0025694,Runaway Queen,1934.0,77.0,,
tt0025698,Radio Parade of 1935,1934.0,96.0,6.6,73.0
tt0025724,Road House,1934.0,76.0,5.7,33.0
tt0025745,Say It with Flowers,1934.0,71.0,6.3,43.0
tt0025784,Shoot the Works,1934.0,64.0,7.2,29.0
tt0025796,Sing As We Go!,1934.0,80.0,6.6,91.0
tt0025829,Stand Up and Cheer!,1934.0,68.0,5.6,457.0
tt0025843,Student Tour,1934.0,84.0,5.3,133.0
tt0025850,Sweet Adeline,1934.0,87.0,5.5,225.0
tt0025861,El tango en Broadway,1934.0,85.0,7.0,35.0
tt0025905,Transatlantic Merry-Go-Round,1934.0,91.0,6.1,149.0
tt0025920,Twenty Million Sweethearts,1934.0,89.0,6.3,366.0
tt0025925,Two Hearts in Waltz Time,1934.0,80.0,4.0,5.0
tt0025928,Ud i den kolde sne,1934.0,104.0,5.2,18.0
tt0025942,Fair of the Dove,1935.0,78.0,6.2,105.0
tt0025946,Moscow Laughs,1934.0,96.0,7.0,855.0
tt0025952,Suburban Cabaret,1935.0,93.0,6.8,51.0
tt0025960,Was bin ich ohne Dich,1934.0,80.0,4.6,8.0
tt0025965,We're Not Dressing,1934.0,74.0,6.1,727.0
tt0026007,Wonder Bar,1934.0,84.0,6.6,571.0
tt0026011,Yo canto para ti,1934.0,87.0,,
tt0026023,Zouzou,1934.0,92.0,6.4,488.0
tt0026062,The Soul of the Accordion,1935.0,77.0,7.2,15.0
tt0026063,"Alô, Alô, Brasil",1935.0,78.0,7.0,6.0
tt0026069,Amphitryon,1935.0,105.0,6.5,132.0
tt0026113,The Big Broadcast of 1936,1935.0,97.0,5.8,252.0
tt0026125,Die blonde Carmen,1935.0,101.0,6.9,12.0
tt0026142,Broadway Gondolier,1935.0,99.0,6.4,235.0
tt0026143,Broadway Hostess,1935.0,68.0,5.2,298.0
