College,Course Prefix,Department,Total Students,gpa_total,Average GPA,semester
Liberal Arts,ANT,Anthropology,257.0,778.1,3.0276,Summer 2021
Liberal Arts,ASL,American Sign Language,130.0,443.09,3.4084,Summer 2021
Liberal Arts,C C,Classical Civilization,98.0,321.0,3.2755,Summer 2021
Liberal Arts,CRW,Creative Writing,16.0,48.68,3.0425,Summer 2021
Liberal Arts,E,English,1346.0,4581.89,3.4041,Summer 2021
Liberal Arts,ECO,Economics,642.0,1718.43,2.6767,Summer 2021
Liberal Arts,FR,French,111.0,334.69,3.0152,Summer 2021
Liberal Arts,GOV,Government,1662.0,4641.79,2.7929,Summer 2021
Liberal Arts,H S,Health And Society,21.0,71.36,3.3981,Summer 2021
Liberal Arts,HDO,Human Dimensions Of Organizations,14.0,55.34,3.9529,Summer 2021
Liberal Arts,HIS,History,1470.0,4772.2,3.2464,Summer 2021
Liberal Arts,IRG,International Relations And Global Studies,39.0,142.34,3.6497,Summer 2021
Liberal Arts,ITL,Italian,34.0,92.33,2.7156,Summer 2021
Liberal Arts,JPN,Japanese,47.0,150.67000000000002,3.2057,Summer 2021
Liberal Arts,KOR,Korean,36.0,133.68,3.7133,Summer 2021
Liberal Arts,LAT,Latin,10.0,26.67,2.667,Summer 2021
Liberal Arts,LIN,Linguistics,13.0,36.66,2.82,Summer 2021
Liberal Arts,MAS,Mexican American Studies,15.0,53.35,3.5567,Summer 2021
Liberal Arts,MES,Middle Eastern Studies,29.0,91.02,3.1386,Summer 2021
Liberal Arts,PHL,Philosophy,135.0,404.06,2.993,Summer 2021
Liberal Arts,POR,Portuguese,10.0,34.34,3.434,Summer 2021
Liberal Arts,PSY,Psychology,762.0,2427.71,3.186,Summer 2021
Liberal Arts,R S,Religious Studies,43.0,147.34,3.4265,Summer 2021
Liberal Arts,RHE,Rhetoric And Writing,239.0,733.44,3.0688,Summer 2021
Liberal Arts,SOC,Sociology,357.0,1102.78,3.089,Summer 2021
Liberal Arts,SPN,Spanish,330.0,1053.84,3.1935,Summer 2021
Liberal Arts,WGS,Women's And Gender Studies,77.0,250.35,3.2513,Summer 2021
Natural Sciences,BCH,Biochemistry,163.0,601.12,3.6879,Summer 2021
Natural Sciences,BIO,Biology,988.0,3186.86,3.2256,Summer 2021
Natural Sciences,C S,Computer Science,726.0,2070.92,2.8525,Summer 2021
Natural Sciences,CH,Chemistry,712.0,1821.16,2.5578,Summer 2021
Natural Sciences,HDF,Human Development And Family Sciences,80.0,274.69,3.4336,Summer 2021
Natural Sciences,M,Mathematics,875.0,2827.12,3.231,Summer 2021
Natural Sciences,MNS,Marine Science,34.0,120.0,3.5294,Summer 2021
Natural Sciences,NTR,Nutrition,506.0,1783.07,3.5239,Summer 2021
Natural Sciences,P S,Physical Science,17.0,52.0,3.0588,Summer 2021
Natural Sciences,PHY,Physics,861.0,2797.27,3.2489,Summer 2021
Natural Sciences,SDS,Statistics And Data Sciences,127.0,357.03,2.8113,Summer 2021
Natural Sciences,TXA,Textiles And Apparel,37.0,122.67,3.3154,Summer 2021
Natural Sciences,UTS,UTeach-Natural Sciences,21.0,66.02,3.1438,Summer 2021
Nursing,N,Nursing,282.0,1063.0,3.7695,Summer 2021
Other,DSC,Data Science,274.0,852.71,3.1121,Summer 2021
Other,GRG,Geography,44.0,134.32,3.0527,Summer 2021
Other,HCT,Health Care Transformation,84.0,333.69,3.9725,Summer 2021
Other,STC,Science And Technology Commercialization,196.0,706.73,3.6058,Summer 2021
Pharmacy,PHM,Pharmacy PharmD,213.0,728.41,3.4198,Summer 2021
Social Work,S W,Social Work,189.0,686.0500000000001,3.6299,Summer 2021
Undergraduate Studies,UGS,Undergraduate Studies,84.0,305.67,3.6389,Summer 2021
Architecture,ARC,Architecture,1189.0,3921.82,3.2984,Spring 2021
Architecture,ARI,Architectural Interior Design,88.0,275.02,3.1252,Spring 2021
Architecture,CRP,Community And Regional Planning,162.0,541.4399999999999,3.3422,Spring 2021
Architecture,LAR,Landscape Architecture,69.0,239.69,3.4738,Spring 2021
Business,ACC,Accounting,4043.0,10423.960000000001,2.5783,Spring 2021
Business,B A,Business Administration,2486.0,8839.43,3.5557,Spring 2021
Business,BGS,"Business, Government, And Society",323.0,1112.45,3.4441,Spring 2021
