@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
N,403,8399,8.655086848635236,2.4168734491315136,5.183622828784119,7.600496277915632,0.7518610421836228,0.4392059553349876,0.228287841191067,1.5235732009925558,1434,2453,1154,1500,1178,8,F,1997,2004,0,0,0
N,115,0,5.965217391304348,0.0,0.0,0.0,1.8434782608695652,0.0,0.0,0.0,192,681,225,304,236,2,G,1948,1949,1,55,0
N,42,342,3.4285714285714284,0.5238095238095238,1.0238095238095237,1.5476190476190477,0.21428571428571427,0.19047619047619047,0.14285714285714285,0.35714285714285715,37,120,55,52,34,1,F,1981,1981,1,23,0
N,687,14970,6.312954876273653,0.9213973799126638,1.787481804949054,2.7088791848617175,3.8850072780203786,1.579330422125182,0.09315866084425037,1.3304221251819506,1036,3618,1639,1378,1037,13,G,1982,1994,1,10,0
N,81,633,2.308641975308642,0.30864197530864196,0.6790123456790124,0.9876543209876543,0.9012345679012346,0.24691358024691357,0.024691358024691357,1.0,83,192,68,72,51,2,G,1978,1979,1,25,0
N,362,6814,6.552486187845304,0.0,0.0,5.2154696132596685,1.0497237569060773,0.0,0.0,0.0,882,2409,1012,523,348,6,F,1958,1963,1,41,0
N,1045,47859,30.06602870813397,0.0,0.0,22.89377990430622,4.443062200956938,0.0,0.0,0.0,2075,23497,12681,11862,6057,14,C,1959,1972,1,32,1
N,464,9878,9.081896551724139,1.790948275862069,3.834051724137931,5.625,1.7607758620689655,0.9310344827586207,0.6120689655172413,1.894396551724138,1349,3684,1704,1008,785,8,F,1978,1985,1,19,0
N,154,1559,8.779220779220779,0.0,0.0,1.396103896103896,1.3311688311688312,0.0,0.0,0.0,557,1407,444,657,464,5,F,1948,1952,1,52,0
N,127,0,7.291338582677166,0.0,0.0,1.905511811023622,1.779527559055118,0.0,0.0,0.0,434,1023,326,437,274,2,G,1949,1950,1,54,0
A,12,127,4.0,0.0,0.0,1.9166666666666667,0.4166666666666667,0.0,0.0,1.0833333333333333,30,39,19,14,10,1,F,1967,1967,1,37,0
N,508,11882,10.0748031496063,0.6673228346456693,1.81496062992126,2.482283464566929,4.856299212598425,1.6338582677165354,0.13582677165354332,1.9507874015748032,981,4310,1889,1329,1044,9,G,1991,1999,1,5,0
