@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
N,11,139,4.090909,0.545455,0.454545,1,1.454545,0.545455,0,0.818182,19,44,15,16,13,1,F,1994,1994,1,10,0
N,58,1050,5.517241,0,0,3.068966,1.965517,0,0,0,98,309,107,137,106,1,G,1961,1961,1,43,0
N,7,47,1.714286,0,0,1.428571,0.857143,0,0,0,7,19,5,2,2,1,G,1954,1954,1,50,0
N,31,314,2.483871,0,0,2.483871,0.354839,0,0,0,50,94,28,31,21,7,F,1961,1967,1,37,0
N,173,1775,5.277457,0,0,1.884393,1.734104,0,0,0,514,1076,292,463,329,4,F,1949,1952,1,52,0
N,47,0,4.765957,0,0,0,0.404255,0,0,0,117,285,81,110,62,2,F,1947,1948,1,56,0
A,324,6221,6.552469,0,1.910494,4.484568,0.907407,0.42284,0.083333,1.006173,846,1965,915,358,292,9,F,1967,1975,1,29,0
N,403,5374,3.60794,0.947891,1.952854,2.900744,0.354839,0.451613,0.699752,0.627792,1135,1099,583,438,288,8,F,1995,2002,1,2,0
N,192,3868,8.432292,0,0,4.119792,1.838542,0,0,0,421,1489,564,608,491,4,G,1956,1959,1,45,0
N,252,3986,6.563492,0.81746,1.353175,2.170635,0.611111,0.400794,0.31746,0.920635,492,1393,609,444,366,7,F,1997,2003,1,1,0
N,7,72,1.571429,0,0,1.857143,0.571429,0,0,0,12,21,2,12,7,1,G,1954,1954,1,50,0
N,245,7356,9.653061,0.579592,2.906122,3.485714,7.163265,1.746939,0.355102,2.881633,693,2208,880,529,382,4,G,2001,2004,0,0,0
N,9,76,1.111111,0,0,0.666667,1.111111,0,0,0,12,7,2,6,6,1,G,1972,1972,1,32,0
N,329,5241,4.422492,1.31003,2.802432,4.112462,0.492401,0.294833,1.659574,1.100304,820,1269,608,394,239,11,C,1980,1990,1,14,0
N,586,15633,14.595563,0.37372,1.481229,1.854949,3.547782,0.831058,0.078498,1.643345,1107,7943,3514,1161,1051,11,G,1990,2000,1,4,0
N,11,68,2.454545,0,0,2.363636,0.181818,0,0,0,13,27,10,8,7,1,F,1963,1963,1,41,0
N,132,1372,3.560606,0.340909,0.727273,1.068182,1.045455,0.537879,0.022727,0.727273,147,469,195,122,78,3,G,1985,1987,1,17,0
N,548,14879,6.321168,0.614964,2.133212,2.748175,1.304745,0.877737,0.448905,0.808394,1264,3143,1271,761,429,9,F,1996,2004,0,0,0
A,377,9196,9.578249,0,2.212202,3.228117,3.628647,1.692308,0.167109,2.38992,1234,3152,1419,979,746,8,G,1971,1978,1,26,0
N,379,10795,13.941953,0.968338,1.791557,2.759894,3.358839,1.108179,0.137203,2,1020,4703,2134,1155,986,13,G,1968,1980,1,24,0
N,494,11569,14.467611,0,0,2.619433,3.068826,0,0,0,1267,6082,2775,1881,1597,8,G,1966,1973,1,31,0
N,128,1768,3.367188,0.335938,0.78125,2.25,0.617188,0.453125,0.078125,0,236,480,183,86,65,5,G,1972,1976,1,28,0
N,792,20930,11.57702,0.07702,0.270202,2.434343,2.878788,0.128788,0.016414,0,1370,8174,4001,1381,1167,11,G,1965,1975,1,29,0
A,70,1590,12.171429,0,0,4.7,0.942857,0,0,1.157143,173,686,306,336,238,1,F,1967,1967,1,37,0
N,142,1925,5.971831,0,0,2.78169,0.661972,0.06338,0,0.028169,235,650,295,346,258,4,F,1968,1971,1,33,0
N,1094,33638,13.220293,1.031079,2.702011,3.73309,7.300731,1.477148,0.196527,2.616088,2048,11928,5418,4759,3432,17,G,1988,2004,0,0,0
N,6,0,3,0,0,0,0.5,0,0,0,10,17,6,7,6,1,G,1948,1948,1,56,0
N,191,4282,8.680628,1.942408,4.534031,6.47644,0.900524,0.460733,0.554974,0,457,1502,721,322,216,3,C,1974,1976,1,28,0
N,353,8583,8.614731,0.206799,1.654391,1.86119,3.498584,0.614731,0.016997,1.271955,723,2682,1171,516,419,7,G,1998,2004,0,0,0
N,42,0,4.690476,0,0,0,2.02381,0,0,0,72,231,78,58,41,1,G,1949,1949,1,55,0
N,59,736,3.322034,1,2.135593,3.135593,0.271186,0.355932,0.135593,0.881356,157,175,76,55,43,1,C,2004,2004,0,0,0
N,134,1654,3.932836,0.246269,0.992537,1.238806,1.985075,0.477612,0.029851,1.067164,95,526,202,121,93,4,G,2001,2004,0,0,0
N,674,17167,11.591988,2.234421,5.182493,7.416914,1.369436,0.718101,0.439169,2.133531,2153,5998,3057,2479,1696,10,F,1977,1986,1,18,0
N,276,8171,13.623188,1,2.050725,3.050725,3.34058,1.721014,0.15942,1.478261,747,3558,1608,681,544,4,G,1975,1978,1,26,0
N,134,1795,4.679104,1.029851,1.410448,2.440299,0.791045,0.731343,0.231343,0.679104,214,482,243,189,137,4,G,1989,1992,1,12,0
A,686,24038,16.997085,0,0.989796,3.879009,4.202624,0.517493,0.030612,1.994169,2016,9613,4161,3741,3063,11,G,1966,1976,1,28,0
N,57,0,4.280702,0,0,0,0.736842,0,0,0,120,343,90,112,64,1,F,1946,1946,1,58,0
N,201,2835,5.139303,0.61194,1.910448,4.238806,0.905473,0.393035,0.348259,0.432836,357,1060,436,222,161,7,C,1971,1977,1,27,0
A,234,7367,13.017094,0,0,7,2.15812,0,0,1.260684,849,2925,1244,752,552,10,F,1960,1969,1,35,0
N,24,144,2.875,0,0,1.666667,0.291667,0,0,0,14,83,31,11,7,1,F,1971,1971,1,33,0
N,569,13353,9.745167,1.586995,2.133568,3.720562,1.499121,0.799649,0.286467,1.384886,1133,4539,2125,1642,1292,8,F,1980,1987,1,17,0
N,70,906,3.5,0.928571,2.5,3.428571,0.8,0.457143,0.828571,0.914286,144,182,106,83,33,2,C,1984,1985,1,19,0
A,148,1977,6.398649,0,2.013514,2.013514,1.47973,0.513514,0.081081,1.202703,149,903,414,140,108,3,G,1973,1975,1,29,0
N,11,91,1.545455,0.363636,0.363636,0.727273,0.545455,0.272727,0,0.545455,11,35,8,0,0,1,G,2002,2002,1,2,0
N,742,24502,14.210243,1.103774,3.214286,4.318059,2.556604,0.77628,0.382749,1.789757,1626,8290,3852,2816,2251,12,F,1989,2000,1,4,0
A,144,5563,24.0625,0,13.381944,13.381944,2.770833,1.527778,1.881944,3.729167,601,2916,1458,779,546,6,F,1974,1979,1,25,0
A,22,183,2.636364,0,0,1.227273,0.5,0,0,0,34,72,22,13,10,1,F,1969,1969,1,35,0
N,93,586,1.365591,0.494624,1.612903,2.107527,0.11828,0.172043,0.16129,0.322581,106,101,50,41,27,3,C,2000,2002,1,2,0
A,69,1181,4.898551,0,0,6.608696,1.028986,0,0,1.695652,199,361,130,143,77,1,F,1967,1967,1,37,0
N,850,19481,10.471765,0.271765,1.621176,1.892941,3.337647,0.870588,0.054118,1.427059,1074,7148,3281,1456,1249,15,G,1989,2003,1,1,0
N,77,1057,6.480519,0.974026,1.116883,2.090909,1,0.415584,0.324675,0.987013,123,525,222,84,55,2,G,1978,1979,1,25,0
N,627,10853,4.92504,1.054226,2.122807,3.177033,1.350877,0.644338,0.591707,0.984051,1034,2436,1171,1012,742,8,F,1977,1984,1,20,0
N,165,0,11.884848,0,0,0,3.466667,0,0,0,542,2633,767,604,427,3,G,1946,1948,1,56,0
N,58,685,2.310345,0.275862,1.068966,1.344828,0.810345,0.5,0.103448,0.5,57,148,57,20,10,1,F,2002,2002,1,2,0
N,251,5018,6.713147,0.689243,1.171315,1.860558,1.705179,1.390438,0.079681,1.286853,587,1806,694,358,263,8,G,1991,1998,1,6,0
N,179,1902,4.027933,0.810056,1.715084,2.52514,0.553073,0.301676,0.256983,0.804469,237,635,285,233,151,4,F,1990,1993,1,11,0
N,73,1983,10.684932,0.684932,1.794521,2.479452,3.082192,0.90411,0.082192,0,203,691,306,214,168,6,G,1969,1974,1,30,0
N,586,10507,10.856655,0,0,4.687713,1.967577,0,0,0,2113,6158,2276,2385,1810,10,C,1947,1956,1,48,0
N,5,10,0.2,0,0.4,0.4,0,0,0,0.4,4,0,0,2,1,1,C,2004,2004,0,0,0
N,16,128,2.3125,0.9375,0.6875,1.625,0.1875,0.375,0.3125,0.375,24,30,15,18,7,1,F,1989,1989,1,15,0
N,682,19660,15.356305,1.042522,1.11437,2.917889,2.753666,0.634897,0.096774,0.68915,1394,9714,4359,2181,1753,10,G,1971,1980,1,24,0
N,38,315,2.368421,0,0,1.263158,1.236842,0,0,0,62,84,34,39,22,1,G,1970,1970,1,34,0
A,72,1272,6.069444,0,4.277778,4.277778,0.736111,0.347222,0.125,1.041667,137,432,192,79,53,2,F,1973,1974,1,30,0
N,10,74,3,0.1,0.6,0.7,1.4,0.1,0.1,0.7,10,22,11,9,7,1,G,1994,1994,1,10,0
N,7,32,1.285714,0.285714,0.142857,0.428571,0.428571,0.142857,0,0.285714,2,12,3,2,0,2,F,1995,1996,1,8,0
A,46,554,3.826087,0,0,1.695652,1.586957,0,0,0.869565,85,153,55,103,62,1,G,1967,1967,1,37,0
N,343,6782,6.816327,0,0,4.740525,1.262391,0,0,0,1047,2154,790,1003,758,6,F,1952,1957,1,47,0
N,503,15517,16.968191,2.707753,5.129225,7.836978,2.558648,1.341948,0.308151,2.188867,1078,7293,3564,1763,1406,7,F,1976,1982,1,22,0
N,4,17,0.75,0.25,0.75,1,0.25,0.25,0.5,0.5,4,3,1,2,1,1,C,1997,1997,1,7,0
N,3,10,1.333333,0,0.666667,0.666667,0,0.666667,0.333333,0.333333,5,2,0,6,4,1,F,1989,1989,1,15,0
N,37,0,0.810811,0,0,0,1.405405,0,0,0,30,70,9,15,12,1,G,1949,1949,1,55,0
N,123,0,4.894309,0,0,0,1.211382,0,0,0,231,403,159,367,284,2,G,1948,1949,1,55,0
N,11,29,1.181818,0.454545,0.818182,1.272727,0.090909,0.090909,0.181818,0.454545,5,7,3,12,7,1,F,1990,1990,1,14,0
A,210,4861,14.104762,0,0,6.219048,0.985714,0,0,1.219048,597,2216,1060,1047,841,7,F,1964,1970,1,34,0
N,34,0,3.5,0,0,0,0.735294,0,0,0,24,119,34,75,51,1,F,1948,1948,1,56,0
N,600,16789,11.086667,0.458333,2.085,2.543333,6.468333,0.833333,0.048333,2.495,1343,5259,2290,1741,1548,10,G,1986,1995,1,9,0
